method,round,rounds,protocol,backend,press,scorer,selector,operator,domain,n_scenes,valid_scenes,pdm,pdm_std,trajectory_l2,trajectory_l2_std,endpoint_l2,endpoint_l2_std,K_mean,K_std,n_candidate_mean,eligible_keep_ratio_mean,history_keep_ratio_mean,theoretical_attn_ratio_mean,k_length_before_mean,k_length_after_mean,v_length_after_mean,selector_latency_ms_mean,selector_latency_ms_std,model_latency_ms_mean,model_latency_ms_std,e2e_latency_ms_mean,e2e_latency_ms_std,peak_memory_mb_mean,peak_memory_mb_std,peak_memory_mb_max,run_dir
causal_attention_zero,all,1,causal,official_navsim,scorer_press,action_attention,topk,zero,last_history,1,1,0.9077248476126129,0.0,,,,,,,,,,,,,,16.486940905451775,0.0,2280.6219942867756,0.0,2280.6219942867756,0.0,23286.94921875,0.0,23286.94921875,/mnt/chenpeijian/autodrive/DriveVA-lite/videopress_framework/outputs/official_scorer_smoke
causal_gradient_norm_zero,all,1,causal,official_navsim,scorer_press,gradient_norm,topk,zero,last_history,1,1,0.8955006965461436,0.0,,,,,,,,,,,,,,4.061272367835045,0.0,1675.0277131795883,0.0,1675.0277131795883,0.0,34530.533203125,0.0,34530.533203125,/mnt/chenpeijian/autodrive/DriveVA-lite/videopress_framework/outputs/official_scorer_smoke
physical_attention_kv_prune,all,1,physical,official_navsim,scorer_press,action_attention,topk,kv_prune,last_history,1,1,0.8833204112517357,0.0,,,,,,,,,,0.875717017208413,1569.0,1374.0,1374.0,2.6848092675209045,0.0,585.3420607745647,0.0,585.3420607745647,0.0,23300.75,0.0,23300.75,/mnt/chenpeijian/autodrive/DriveVA-lite/videopress_framework/outputs/official_scorer_smoke
