token,valid,rank,infer_time_s,infer_time_ms,infer_mode,skip_video_decode,gpu_mem_alloc_before_mb,gpu_mem_alloc_after_mb,gpu_mem_alloc_peak_mb,gpu_mem_alloc_peak_delta_mb,gpu_mem_reserved_before_mb,gpu_mem_reserved_after_mb,gpu_mem_reserved_peak_mb,gpu_mem_reserved_peak_delta_mb,no_at_fault_collisions,drivable_area_compliance,driving_direction_compliance,traffic_light_compliance,ego_progress,time_to_collision_within_bound,lane_keeping,history_comfort,comfort,multiplicative_metrics_prod,weighted_metrics,weighted_metrics_array,pdm_score,score
01226863089b5e1d,True,0,0.5834648162126541,583.4648162126541,trajectory_only,1.0,21762.4443359375,21817.3486328125,23286.94921875,1524.5048828125,23652.0,23652.0,23652.0,0.0,1.0,1.0,1.0,,0.9028988897633111,1.0,,1.0,1.0,1.0,,,0.9595412040680463,0.9595412040680463
average,True,0,0.5834648162126541,583.4648162126541,,1.0,21762.4443359375,21817.3486328125,23286.94921875,1524.5048828125,23652.0,23652.0,23652.0,0.0,1.0,1.0,1.0,,0.9028988897633111,1.0,,1.0,1.0,1.0,,,0.9595412040680463,0.9595412040680463
