method,round,rounds,protocol,backend,press,scorer,selector,operator,domain,n_scenes,valid_scenes,pdm,pdm_std,trajectory_l2,trajectory_l2_std,endpoint_l2,endpoint_l2_std,K_mean,K_std,n_candidate_mean,eligible_keep_ratio_mean,history_keep_ratio_mean,theoretical_attn_ratio_mean,k_length_before_mean,k_length_after_mean,v_length_after_mean,selector_latency_ms_mean,selector_latency_ms_std,model_latency_ms_mean,model_latency_ms_std,e2e_latency_ms_mean,e2e_latency_ms_std,peak_memory_mb_mean,peak_memory_mb_std,peak_memory_mb_max,run_dir
causal_no_press,1,,causal,official_navsim,noop,,,,,4,4,0.903738397289525,0.06197102857274096,,,,,,,,,,,,,,0.0,0.0,758.4868101403117,394.5606616721339,758.4868101403117,394.5606616721339,23286.892822265625,0.11474609375,23286.9501953125,/mnt/chenpeijian/autodrive/DriveVA-lite/videopress_framework/outputs/official_scene_integrity_smoke/round01/causal_no_press
causal_attention_zero,1,,causal,official_navsim,scorer_press,action_attention,topk,zero,last_history,4,4,0.8854751841553845,0.055111287419624524,,,,,195.0,0.0,390.0,0.5,0.25,,,,,6.5671103075146675,5.020586470136705,1168.226879555732,49.70946849976059,1168.226879555732,49.70946849976059,23286.949951171875,0.00048828125,23286.9501953125,/mnt/chenpeijian/autodrive/DriveVA-lite/videopress_framework/outputs/official_scene_integrity_smoke/round01/causal_attention_zero
physical_random_kv_prune,1,,physical,official_navsim,scorer_press,random,topk,kv_prune,last_history,4,4,0.8849450086743841,0.039216690886175576,,,,,195.0,0.0,390.0,0.5,0.25,0.875717017208413,1569.0,1374.0,1374.0,27.019142173230648,1.414421970306284,707.0376886986196,55.752070195029695,707.0376886986196,55.752070195029695,26015.96142578125,0.115234375,26016.13427734375,/mnt/chenpeijian/autodrive/DriveVA-lite/videopress_framework/outputs/official_scene_integrity_smoke/round01/physical_random_kv_prune
