method,round,rounds,protocol,backend,press,scorer,selector,operator,domain,n_scenes,valid_scenes,pdm,pdm_std,trajectory_l2,trajectory_l2_std,endpoint_l2,endpoint_l2_std,K_mean,K_std,n_candidate_mean,eligible_keep_ratio_mean,history_keep_ratio_mean,theoretical_attn_ratio_mean,k_length_before_mean,k_length_after_mean,v_length_after_mean,selector_latency_ms_mean,selector_latency_ms_std,model_latency_ms_mean,model_latency_ms_std,e2e_latency_ms_mean,e2e_latency_ms_std,peak_memory_mb_mean,peak_memory_mb_std,peak_memory_mb_max,run_dir
causal_attention_vnorm_zero,all,1,causal,synthetic,scorer_press,action_attention_vnorm,topk,zero,last_history,1,1,0.9939720034599304,0.0,0.0060462565161287785,0.0,0.007241705898195505,0.0,6.0,0.0,12.0,0.5,0.25,,,,,11.227382346987724,0.0,1.3721280097961426,0.0,22.71331214904785,0.0,8.15576171875,0.0,8.15576171875,/mnt/chenpeijian/autodrive/DriveVA-lite/videopress_framework/outputs/debug_suite
causal_attention_zero,all,1,causal,synthetic,scorer_press,action_attention,topk,zero,last_history,1,1,0.9939720034599304,0.0,0.0060462565161287785,0.0,0.007241705898195505,0.0,6.0,0.0,12.0,0.5,0.25,,,,,113.94584737718105,0.0,1.4716479778289795,0.0,125.50761413574219,0.0,8.15576171875,0.0,8.15576171875,/mnt/chenpeijian/autodrive/DriveVA-lite/videopress_framework/outputs/debug_suite
causal_gradient_input_zero,all,1,causal,synthetic,scorer_press,gradient_input,topk,zero,last_history,1,1,0.9936187267303467,0.0,0.006401723250746727,0.0,0.005213846918195486,0.0,6.0,0.0,12.0,0.5,0.25,,,,,8.713334798812866,0.0,1.7522560358047485,0.0,20.29267120361328,0.0,8.1748046875,0.0,8.1748046875,/mnt/chenpeijian/autodrive/DriveVA-lite/videopress_framework/outputs/debug_suite
causal_gradient_norm_zero,all,1,causal,synthetic,scorer_press,gradient_norm,topk,zero,last_history,1,1,0.9957371354103088,0.0,0.004271971061825752,0.0,0.0018195431912317872,0.0,6.0,0.0,12.0,0.5,0.25,,,,,22.241396829485893,0.0,1.7064319849014282,0.0,33.994239807128906,0.0,8.16943359375,0.0,8.16943359375,/mnt/chenpeijian/autodrive/DriveVA-lite/videopress_framework/outputs/debug_suite
causal_no_press,all,1,causal,synthetic,noop,,,identity,last_history,1,1,0.9934956431388855,0.0,0.006525581236928701,0.0,0.007773153018206358,0.0,12.0,0.0,12.0,1.0,0.5,,,,,18.641995266079903,0.0,25.885696411132812,0.0,49.06281661987305,0.0,0.01904296875,0.0,0.01904296875,/mnt/chenpeijian/autodrive/DriveVA-lite/videopress_framework/outputs/debug_suite
causal_random_mean,all,1,causal,synthetic,scorer_press,random,topk,mean,last_history,1,1,0.993077278137207,0.0,0.006946795154362917,0.0,0.009244337677955627,0.0,6.0,0.0,12.0,0.5,0.25,,,,,0.7893592119216919,0.0,2.0263359546661377,0.0,30.421024322509766,0.0,0.0322265625,0.0,0.0322265625,/mnt/chenpeijian/autodrive/DriveVA-lite/videopress_framework/outputs/debug_suite
causal_random_shuffle_all,all,1,causal,synthetic,scorer_press,random,topk,shuffle_all,last_history,1,1,0.9934956431388855,0.0,0.006525581236928701,0.0,0.007773153018206358,0.0,6.0,0.0,12.0,0.5,0.25,,,,,4.355652257800102,0.0,1.9922239780426025,0.0,57.4285774230957,0.0,0.0302734375,0.0,0.0302734375,/mnt/chenpeijian/autodrive/DriveVA-lite/videopress_framework/outputs/debug_suite
causal_random_shuffle_drop,all,1,causal,synthetic,scorer_press,random,topk,shuffle_drop,last_history,1,1,0.9934956431388855,0.0,0.006525581236928701,0.0,0.007773153018206358,0.0,6.0,0.0,12.0,0.5,0.25,,,,,4.380589351058006,0.0,2.205984115600586,0.0,13.68115234375,0.0,0.03076171875,0.0,0.03076171875,/mnt/chenpeijian/autodrive/DriveVA-lite/videopress_framework/outputs/debug_suite
causal_random_shuffle_keep,all,1,causal,synthetic,scorer_press,random,topk,shuffle_keep,last_history,1,1,0.9934956431388855,0.0,0.006525581236928701,0.0,0.007773153018206358,0.0,6.0,0.0,12.0,0.5,0.25,,,,,4.192152991890907,0.0,2.140608072280884,0.0,13.603360176086426,0.0,0.0302734375,0.0,0.0302734375,/mnt/chenpeijian/autodrive/DriveVA-lite/videopress_framework/outputs/debug_suite
causal_random_zero,all,1,causal,synthetic,scorer_press,random,topk,zero,last_history,1,1,0.9932329654693604,0.0,0.006790037266910076,0.0,0.001583710196428001,0.0,6.0,0.0,12.0,0.5,0.25,,,,,32.32000768184662,0.0,1.9875520467758179,0.0,488.5652770996094,0.0,0.03076171875,0.0,0.03076171875,/mnt/chenpeijian/autodrive/DriveVA-lite/videopress_framework/outputs/debug_suite
