token,valid,rank,infer_time_s,infer_time_ms,infer_mode,skip_video_decode,gpu_mem_alloc_before_mb,gpu_mem_alloc_after_mb,gpu_mem_alloc_peak_mb,gpu_mem_alloc_peak_delta_mb,gpu_mem_reserved_before_mb,gpu_mem_reserved_after_mb,gpu_mem_reserved_peak_mb,gpu_mem_reserved_peak_delta_mb,no_at_fault_collisions,drivable_area_compliance,driving_direction_compliance,traffic_light_compliance,ego_progress,time_to_collision_within_bound,lane_keeping,history_comfort,comfort,multiplicative_metrics_prod,weighted_metrics,weighted_metrics_array,pdm_score,score
01226863089b5e1d,True,0,1.6750277131795883,1675.0277131795883,trajectory_only,1.0,21762.4443359375,21825.4580078125,34530.533203125,12768.0888671875,23652.0,35168.0,35168.0,11516.0,1.0,1.0,1.0,,0.7492016717107447,1.0,,1.0,1.0,1.0,,,0.8955006965461436,0.8955006965461436
average,True,0,1.6750277131795883,1675.0277131795883,,1.0,21762.4443359375,21825.4580078125,34530.533203125,12768.0888671875,23652.0,35168.0,35168.0,11516.0,1.0,1.0,1.0,,0.7492016717107447,1.0,,1.0,1.0,1.0,,,0.8955006965461436,0.8955006965461436
