token,valid,rank,infer_time_s,infer_time_ms,infer_mode,skip_video_decode,gpu_mem_alloc_before_mb,gpu_mem_alloc_after_mb,gpu_mem_alloc_peak_mb,gpu_mem_alloc_peak_delta_mb,gpu_mem_reserved_before_mb,gpu_mem_reserved_after_mb,gpu_mem_reserved_peak_mb,gpu_mem_reserved_peak_delta_mb,no_at_fault_collisions,drivable_area_compliance,driving_direction_compliance,traffic_light_compliance,ego_progress,time_to_collision_within_bound,lane_keeping,history_comfort,comfort,multiplicative_metrics_prod,weighted_metrics,weighted_metrics_array,pdm_score,score
01226863089b5e1d,True,0,41.07440318539739,41074.40318539739,trajectory_only,1.0,21770.5693359375,25704.642578125,26006.89697265625,4236.32763671875,35168.0,35168.0,35168.0,0.0,1.0,1.0,1.0,,0.7162859487781646,1.0,,1.0,1.0,1.0,,,0.8817858119909019,0.8817858119909019
average,True,0,41.07440318539739,41074.40318539739,,1.0,21770.5693359375,25704.642578125,26006.89697265625,4236.32763671875,35168.0,35168.0,35168.0,0.0,1.0,1.0,1.0,,0.7162859487781646,1.0,,1.0,1.0,1.0,,,0.8817858119909019,0.8817858119909019
