K,domain,e2e_latency_ms,eligible_keep_ratio,endpoint_l2,error,history_keep_ratio,latency_ms,log_id,metadata,model_latency_ms,n_candidate,n_history,operator,pdm,peak_memory_mb,press_name,scene_token,scorer,selector,selector_latency_ms,trajectory_l2,valid
6,last_history,13.312224388122559,0.5,0.007773153018206358,,0.25,13.312224388122559,synthetic_log_00,"{'press': 'scorer_press', 'scorer': {'name': 'random', 'requires_probe': False, 'probe_mode': 'none', 'seed': 20260833, 'scope': 'scene', 'layer': None}, 'selector': {'name': 'topk'}, 'operator': 'shuffle_keep', 'domain': 'last_history', 'injection_point': 'video_input', 'budget': {'type': 'ratio', 'value': 0.5, 'reference': 'eligible'}, 'n_history': 24, 'n_eligible': 12, 'n_kept': 6, 'history_keep_ratio': 0.25, 'eligible_keep_ratio': 0.5, 'seed': 0, 'selection_dependent': True, 'timing': {'selector_latency_ms': 4.289932548999786, 'model_latency_ms': 2.127648115158081, 'e2e_latency_ms': 13.312224388122559, 'peak_memory_mb': 0.07275390625}, 'scene_tokens': ['synthetic_scene_0000'], 'target_trajectory': [[[-0.7793054580688477, 0.5858180522918701], [0.6462790966033936, 0.9543379545211792], [-0.7711045742034912, -0.7631348967552185], [-0.9589793682098389, -0.5032699704170227]]], 'configured_domain': 'last_history', 'resolved_domain': 'last_history', 'domain_override': False, 'candidate_start': 12, 'candidate_end': 24, 'n_candidate': 12, 'execution_plan': {'probe_required': False, 'probe_mode': <ProbeMode.NONE: 'none'>, 'intervention_pass': True, 'physical_mode': False}, 'event_count': 1}",2.127648115158081,12,24,shuffle_keep,0.9934956431388855,0.07275390625,scorer_press,synthetic_scene_0000,random,topk,4.289932548999786,0.006525581236928701,True
6,last_history,13.43289566040039,0.5,0.017370272427797318,,0.25,13.43289566040039,synthetic_log_00,"{'press': 'scorer_press', 'scorer': {'name': 'random', 'requires_probe': False, 'probe_mode': 'none', 'seed': 20260833, 'scope': 'scene', 'layer': None}, 'selector': {'name': 'topk'}, 'operator': 'shuffle_keep', 'domain': 'last_history', 'injection_point': 'video_input', 'budget': {'type': 'ratio', 'value': 0.5, 'reference': 'eligible'}, 'n_history': 24, 'n_eligible': 12, 'n_kept': 6, 'history_keep_ratio': 0.25, 'eligible_keep_ratio': 0.5, 'seed': 0, 'selection_dependent': True, 'timing': {'selector_latency_ms': 4.395395517349243, 'model_latency_ms': 2.1683199405670166, 'e2e_latency_ms': 13.43289566040039, 'peak_memory_mb': 0.078125}, 'scene_tokens': ['synthetic_scene_0001'], 'target_trajectory': [[[-0.12717971205711365, -0.14665162563323975], [0.9263201951980591, 0.280404269695282], [-0.39523929357528687, 0.6209979057312012], [0.7530158758163452, -0.46589529514312744]]], 'configured_domain': 'last_history', 'resolved_domain': 'last_history', 'domain_override': False, 'candidate_start': 12, 'candidate_end': 24, 'n_candidate': 12, 'execution_plan': {'probe_required': False, 'probe_mode': <ProbeMode.NONE: 'none'>, 'intervention_pass': True, 'physical_mode': False}, 'event_count': 1}",2.1683199405670166,12,24,shuffle_keep,0.9750362634658813,0.078125,scorer_press,synthetic_scene_0001,random,topk,4.395395517349243,0.02528061531484127,True
6,last_history,9.590975761413574,0.5,0.022306451573967934,,0.25,9.590975761413574,synthetic_log_01,"{'press': 'scorer_press', 'scorer': {'name': 'random', 'requires_probe': False, 'probe_mode': 'none', 'seed': 20260833, 'scope': 'scene', 'layer': None}, 'selector': {'name': 'topk'}, 'operator': 'shuffle_keep', 'domain': 'last_history', 'injection_point': 'video_input', 'budget': {'type': 'ratio', 'value': 0.5, 'reference': 'eligible'}, 'n_history': 24, 'n_eligible': 12, 'n_kept': 6, 'history_keep_ratio': 0.25, 'eligible_keep_ratio': 0.5, 'seed': 0, 'selection_dependent': True, 'timing': {'selector_latency_ms': 4.38799150288105, 'model_latency_ms': 0.11030399799346924, 'e2e_latency_ms': 9.590975761413574, 'peak_memory_mb': 0.078125}, 'scene_tokens': ['synthetic_scene_0002'], 'target_trajectory': [[[-0.3577113151550293, -0.6386702060699463], [0.11839134991168976, -0.9599270224571228], [0.24875199794769287, 0.5561591386795044], [-0.6440892219543457, -0.20797289907932281]]], 'configured_domain': 'last_history', 'resolved_domain': 'last_history', 'domain_override': False, 'candidate_start': 12, 'candidate_end': 24, 'n_candidate': 12, 'execution_plan': {'probe_required': False, 'probe_mode': <ProbeMode.NONE: 'none'>, 'intervention_pass': True, 'physical_mode': False}, 'event_count': 1}",0.11030399799346924,12,24,shuffle_keep,0.9842095971107483,0.078125,scorer_press,synthetic_scene_0002,random,topk,4.38799150288105,0.015916412696242332,True
6,last_history,13.435423851013184,0.5,0.01012289896607399,,0.25,13.435423851013184,synthetic_log_01,"{'press': 'scorer_press', 'scorer': {'name': 'random', 'requires_probe': False, 'probe_mode': 'none', 'seed': 20260833, 'scope': 'scene', 'layer': None}, 'selector': {'name': 'topk'}, 'operator': 'shuffle_keep', 'domain': 'last_history', 'injection_point': 'video_input', 'budget': {'type': 'ratio', 'value': 0.5, 'reference': 'eligible'}, 'n_history': 24, 'n_eligible': 12, 'n_kept': 6, 'history_keep_ratio': 0.25, 'eligible_keep_ratio': 0.5, 'seed': 0, 'selection_dependent': True, 'timing': {'selector_latency_ms': 4.405520856380463, 'model_latency_ms': 2.166559934616089, 'e2e_latency_ms': 13.435423851013184, 'peak_memory_mb': 0.078125}, 'scene_tokens': ['synthetic_scene_0003'], 'target_trajectory': [[[-0.09628225117921829, -0.9564255475997925], [-0.7544525861740112, -0.3617476522922516], [0.4929768145084381, -0.1394551694393158], [-0.25413405895233154, 0.048923950642347336]]], 'configured_domain': 'last_history', 'resolved_domain': 'last_history', 'domain_override': False, 'candidate_start': 12, 'candidate_end': 24, 'n_candidate': 12, 'execution_plan': {'probe_required': False, 'probe_mode': <ProbeMode.NONE: 'none'>, 'intervention_pass': True, 'physical_mode': False}, 'event_count': 1}",2.166559934616089,12,24,shuffle_keep,0.9912998080253601,0.078125,scorer_press,synthetic_scene_0003,random,topk,4.405520856380463,0.008738254196941853,True
