K,domain,e2e_latency_ms,eligible_keep_ratio,endpoint_l2,error,history_keep_ratio,latency_ms,log_id,metadata,model_latency_ms,n_candidate,n_history,operator,pdm,peak_memory_mb,press_name,scene_token,scorer,selector,selector_latency_ms,trajectory_l2,valid
6,last_history,9.493023872375488,0.5,0.016175005584955215,,0.25,9.493023872375488,synthetic_log_00,"{'press': 'scorer_press', 'scorer': {'name': 'random', 'requires_probe': False, 'probe_mode': 'none', 'seed': 20260831, 'scope': 'scene', 'layer': None}, 'selector': {'name': 'topk'}, 'operator': 'mean', 'domain': 'last_history', 'injection_point': 'video_input', 'budget': {'type': 'ratio', 'value': 0.5, 'reference': 'eligible'}, 'n_history': 24, 'n_eligible': 12, 'n_kept': 6, 'history_keep_ratio': 0.25, 'eligible_keep_ratio': 0.5, 'drop_count': 6, 'timing': {'selector_latency_ms': 4.295239225029945, 'model_latency_ms': 2.1366078853607178, 'e2e_latency_ms': 9.493023872375488, 'peak_memory_mb': 8.19970703125}, 'scene_tokens': ['synthetic_scene_0000'], 'target_trajectory': [[[-0.32385489344596863, 0.45615464448928833], [0.17694032192230225, -0.04556961730122566], [-0.5686386823654175, 0.42439982295036316], [0.9587994813919067, 0.4477473497390747]]], 'configured_domain': 'last_history', 'resolved_domain': 'last_history', 'domain_override': False, 'candidate_start': 12, 'candidate_end': 24, 'n_candidate': 12, 'execution_plan': {'probe_required': False, 'probe_mode': <ProbeMode.NONE: 'none'>, 'intervention_pass': True, 'physical_mode': False}, 'event_count': 1}",2.1366078853607178,12,24,mean,0.979942798614502,8.19970703125,scorer_press,synthetic_scene_0000,random,topk,4.295239225029945,0.020261060446500778,True
6,last_history,15.69865608215332,0.5,0.006022789049893618,,0.25,15.69865608215332,synthetic_log_00,"{'press': 'scorer_press', 'scorer': {'name': 'random', 'requires_probe': False, 'probe_mode': 'none', 'seed': 20260831, 'scope': 'scene', 'layer': None}, 'selector': {'name': 'topk'}, 'operator': 'mean', 'domain': 'last_history', 'injection_point': 'video_input', 'budget': {'type': 'ratio', 'value': 0.5, 'reference': 'eligible'}, 'n_history': 24, 'n_eligible': 12, 'n_kept': 6, 'history_keep_ratio': 0.25, 'eligible_keep_ratio': 0.5, 'drop_count': 6, 'timing': {'selector_latency_ms': 4.406711086630821, 'model_latency_ms': 2.176703929901123, 'e2e_latency_ms': 15.69865608215332, 'peak_memory_mb': 8.205078125}, 'scene_tokens': ['synthetic_scene_0001'], 'target_trajectory': [[[-0.7448458671569824, 0.10365617275238037], [-0.22234117984771729, -0.04208735376596451], [0.038419660180807114, 0.9561522603034973], [0.32548755407333374, 0.30176299810409546]]], 'configured_domain': 'last_history', 'resolved_domain': 'last_history', 'domain_override': False, 'candidate_start': 12, 'candidate_end': 24, 'n_candidate': 12, 'execution_plan': {'probe_required': False, 'probe_mode': <ProbeMode.NONE: 'none'>, 'intervention_pass': True, 'physical_mode': False}, 'event_count': 1}",2.176703929901123,12,24,mean,0.9944552183151245,8.205078125,scorer_press,synthetic_scene_0001,random,topk,4.406711086630821,0.0055602132342755795,True
6,last_history,15.704992294311523,0.5,0.01409634854644537,,0.25,15.704992294311523,synthetic_log_01,"{'press': 'scorer_press', 'scorer': {'name': 'random', 'requires_probe': False, 'probe_mode': 'none', 'seed': 20260831, 'scope': 'scene', 'layer': None}, 'selector': {'name': 'topk'}, 'operator': 'mean', 'domain': 'last_history', 'injection_point': 'video_input', 'budget': {'type': 'ratio', 'value': 0.5, 'reference': 'eligible'}, 'n_history': 24, 'n_eligible': 12, 'n_kept': 6, 'history_keep_ratio': 0.25, 'eligible_keep_ratio': 0.5, 'drop_count': 6, 'timing': {'selector_latency_ms': 4.40482422709465, 'model_latency_ms': 2.1613121032714844, 'e2e_latency_ms': 15.704992294311523, 'peak_memory_mb': 8.205078125}, 'scene_tokens': ['synthetic_scene_0002'], 'target_trajectory': [[[-0.9081573486328125, 0.9586715698242188], [0.06786316633224487, -0.03680102527141571], [-0.4027603566646576, 0.7387542724609375], [-0.725635290145874, -0.3421834409236908]]], 'configured_domain': 'last_history', 'resolved_domain': 'last_history', 'domain_override': False, 'candidate_start': 12, 'candidate_end': 24, 'n_candidate': 12, 'execution_plan': {'probe_required': False, 'probe_mode': <ProbeMode.NONE: 'none'>, 'intervention_pass': True, 'physical_mode': False}, 'event_count': 1}",2.1613121032714844,12,24,mean,0.9884853363037109,8.205078125,scorer_press,synthetic_scene_0002,random,topk,4.40482422709465,0.011581470258533955,True
6,last_history,15.722687721252441,0.5,0.014657510444521904,,0.25,15.722687721252441,synthetic_log_01,"{'press': 'scorer_press', 'scorer': {'name': 'random', 'requires_probe': False, 'probe_mode': 'none', 'seed': 20260831, 'scope': 'scene', 'layer': None}, 'selector': {'name': 'topk'}, 'operator': 'mean', 'domain': 'last_history', 'injection_point': 'video_input', 'budget': {'type': 'ratio', 'value': 0.5, 'reference': 'eligible'}, 'n_history': 24, 'n_eligible': 12, 'n_kept': 6, 'history_keep_ratio': 0.25, 'eligible_keep_ratio': 0.5, 'drop_count': 6, 'timing': {'selector_latency_ms': 4.426334053277969, 'model_latency_ms': 2.15775990486145, 'e2e_latency_ms': 15.722687721252441, 'peak_memory_mb': 8.205078125}, 'scene_tokens': ['synthetic_scene_0003'], 'target_trajectory': [[[-0.7864728569984436, 0.7898128032684326], [0.853118896484375, -0.47614288330078125], [-0.12691035866737366, 0.894088089466095], [-0.7907905578613281, 0.5188006162643433]]], 'configured_domain': 'last_history', 'resolved_domain': 'last_history', 'domain_override': False, 'candidate_start': 12, 'candidate_end': 24, 'n_candidate': 12, 'execution_plan': {'probe_required': False, 'probe_mode': <ProbeMode.NONE: 'none'>, 'intervention_pass': True, 'physical_mode': False}, 'event_count': 1}",2.15775990486145,12,24,mean,0.9886417984962463,8.205078125,scorer_press,synthetic_scene_0003,random,topk,4.426334053277969,0.01142320316284895,True
