K,domain,e2e_latency_ms,eligible_keep_ratio,endpoint_l2,error,history_keep_ratio,latency_ms,log_id,metadata,model_latency_ms,n_candidate,n_history,operator,pdm,peak_memory_mb,press_name,scene_token,scorer,selector,selector_latency_ms,trajectory_l2,valid
6,last_history,15.603232383728027,0.5,0.0016545174876227975,,0.25,15.603232383728027,synthetic_log_00,"{'press': 'scorer_press', 'scorer': {'name': 'token_norm', 'requires_probe': False, 'probe_mode': 'none', 'ord': 2.0}, 'selector': {'name': 'topk'}, 'operator': 'zero', 'domain': 'last_history', 'injection_point': 'video_input', 'budget': {'type': 'ratio', 'value': 0.5, 'reference': 'eligible'}, 'n_history': 24, 'n_eligible': 12, 'n_kept': 6, 'history_keep_ratio': 0.25, 'eligible_keep_ratio': 0.5, 'drop_count': 6, 'timing': {'selector_latency_ms': 4.320943728089333, 'model_latency_ms': 2.1435201168060303, 'e2e_latency_ms': 15.603232383728027, 'peak_memory_mb': 0.0732421875}, 'scene_tokens': ['synthetic_scene_0000'], 'target_trajectory': [[[-0.7793054580688477, 0.5858180522918701], [0.6462790966033936, 0.9543379545211792], [-0.7711045742034912, -0.7631348967552185], [-0.9589793682098389, -0.5032699704170227]]], 'configured_domain': 'last_history', 'resolved_domain': 'last_history', 'domain_override': False, 'candidate_start': 12, 'candidate_end': 24, 'n_candidate': 12, 'execution_plan': {'probe_required': False, 'probe_mode': <ProbeMode.NONE: 'none'>, 'intervention_pass': True, 'physical_mode': False}, 'event_count': 1}",2.1435201168060303,12,24,zero,0.9955922961235046,0.0732421875,scorer_press,synthetic_scene_0000,token_norm,topk,4.320943728089333,0.004417449235916138,True
6,last_history,15.700480461120605,0.5,0.017851896584033966,,0.25,15.700480461120605,synthetic_log_00,"{'press': 'scorer_press', 'scorer': {'name': 'token_norm', 'requires_probe': False, 'probe_mode': 'none', 'ord': 2.0}, 'selector': {'name': 'topk'}, 'operator': 'zero', 'domain': 'last_history', 'injection_point': 'video_input', 'budget': {'type': 'ratio', 'value': 0.5, 'reference': 'eligible'}, 'n_history': 24, 'n_eligible': 12, 'n_kept': 6, 'history_keep_ratio': 0.25, 'eligible_keep_ratio': 0.5, 'drop_count': 6, 'timing': {'selector_latency_ms': 4.408804699778557, 'model_latency_ms': 2.157248020172119, 'e2e_latency_ms': 15.700480461120605, 'peak_memory_mb': 0.07861328125}, 'scene_tokens': ['synthetic_scene_0001'], 'target_trajectory': [[[-0.12717971205711365, -0.14665162563323975], [0.9263201951980591, 0.280404269695282], [-0.39523929357528687, 0.6209979057312012], [0.7530158758163452, -0.46589529514312744]]], 'configured_domain': 'last_history', 'resolved_domain': 'last_history', 'domain_override': False, 'candidate_start': 12, 'candidate_end': 24, 'n_candidate': 12, 'execution_plan': {'probe_required': False, 'probe_mode': <ProbeMode.NONE: 'none'>, 'intervention_pass': True, 'physical_mode': False}, 'event_count': 1}",2.157248020172119,12,24,zero,0.9739503860473633,0.07861328125,scorer_press,synthetic_scene_0001,token_norm,topk,4.408804699778557,0.026394927874207497,True
6,last_history,15.750495910644531,0.5,0.018741652369499207,,0.25,15.750495910644531,synthetic_log_01,"{'press': 'scorer_press', 'scorer': {'name': 'token_norm', 'requires_probe': False, 'probe_mode': 'none', 'ord': 2.0}, 'selector': {'name': 'topk'}, 'operator': 'zero', 'domain': 'last_history', 'injection_point': 'video_input', 'budget': {'type': 'ratio', 'value': 0.5, 'reference': 'eligible'}, 'n_history': 24, 'n_eligible': 12, 'n_kept': 6, 'history_keep_ratio': 0.25, 'eligible_keep_ratio': 0.5, 'drop_count': 6, 'timing': {'selector_latency_ms': 4.455180838704109, 'model_latency_ms': 2.1657280921936035, 'e2e_latency_ms': 15.750495910644531, 'peak_memory_mb': 0.07861328125}, 'scene_tokens': ['synthetic_scene_0002'], 'target_trajectory': [[[-0.3577113151550293, -0.6386702060699463], [0.11839134991168976, -0.9599270224571228], [0.24875199794769287, 0.5561591386795044], [-0.6440892219543457, -0.20797289907932281]]], 'configured_domain': 'last_history', 'resolved_domain': 'last_history', 'domain_override': False, 'candidate_start': 12, 'candidate_end': 24, 'n_candidate': 12, 'execution_plan': {'probe_required': False, 'probe_mode': <ProbeMode.NONE: 'none'>, 'intervention_pass': True, 'physical_mode': False}, 'event_count': 1}",2.1657280921936035,12,24,zero,0.9867624640464783,0.07861328125,scorer_press,synthetic_scene_0002,token_norm,topk,4.455180838704109,0.013325920328497887,True
6,last_history,11.697823524475098,0.5,0.012846028432250023,,0.25,11.697823524475098,synthetic_log_01,"{'press': 'scorer_press', 'scorer': {'name': 'token_norm', 'requires_probe': False, 'probe_mode': 'none', 'ord': 2.0}, 'selector': {'name': 'topk'}, 'operator': 'zero', 'domain': 'last_history', 'injection_point': 'video_input', 'budget': {'type': 'ratio', 'value': 0.5, 'reference': 'eligible'}, 'n_history': 24, 'n_eligible': 12, 'n_kept': 6, 'history_keep_ratio': 0.25, 'eligible_keep_ratio': 0.5, 'drop_count': 6, 'timing': {'selector_latency_ms': 4.427731037139893, 'model_latency_ms': 2.2026240825653076, 'e2e_latency_ms': 11.697823524475098, 'peak_memory_mb': 0.07861328125}, 'scene_tokens': ['synthetic_scene_0003'], 'target_trajectory': [[[-0.09628225117921829, -0.9564255475997925], [-0.7544525861740112, -0.3617476522922516], [0.4929768145084381, -0.1394551694393158], [-0.25413405895233154, 0.048923950642347336]]], 'configured_domain': 'last_history', 'resolved_domain': 'last_history', 'domain_override': False, 'candidate_start': 12, 'candidate_end': 24, 'n_candidate': 12, 'execution_plan': {'probe_required': False, 'probe_mode': <ProbeMode.NONE: 'none'>, 'intervention_pass': True, 'physical_mode': False}, 'event_count': 1}",2.2026240825653076,12,24,zero,0.9889286160469055,0.07861328125,scorer_press,synthetic_scene_0003,token_norm,topk,4.427731037139893,0.011133098043501377,True
